time,Bx,By,Bz,Btotal
2023-07-25 10:40:25.7400,-17.44,-32.17,-36.0,51.33
2023-07-25 10:40:25.8410,-16.61,-31.1,-37.55,51.51
2023-07-25 10:40:25.9410,-15.87,-30.62,-38.13,51.42
2023-07-25 10:40:26.0400,-14.51,-30.81,-38.57,51.45
2023-07-25 10:40:26.1400,-14.14,-30.78,-38.7,51.43
2023-07-25 10:40:26.2390,-13.44,-30.99,-38.99,51.59
2023-07-25 10:40:26.3390,-13.45,-30.85,-39.15,51.63
2023-07-25 10:40:26.4390,-13.23,-30.61,-39.13,51.41
2023-07-25 10:40:26.5390,-13.3,-30.32,-39.53,51.57
2023-07-25 10:40:26.6380,-13.16,-30.46,-39.73,51.76
2023-07-25 10:40:26.7380,-12.75,-30.25,-39.82,51.61
2023-07-25 10:40:26.8370,-12.32,-30.54,-39.94,51.77
2023-07-25 10:40:26.9380,-11.89,-30.29,-40.09,51.64
2023-07-25 10:40:27.0370,-11.96,-30.29,-40.07,51.64
2023-07-25 10:40:27.1370,-12.03,-30.36,-40.21,51.8
2023-07-25 10:40:27.2370,-12.13,-30.0,-40.44,51.8
2023-07-25 10:40:27.3360,-11.79,-29.82,-40.41,51.59
2023-07-25 10:40:27.4360,-11.86,-29.71,-40.56,51.66
2023-07-25 10:40:27.5350,-11.8,-29.44,-40.87,51.73
2023-07-25 10:40:27.6360,-11.74,-29.29,-40.67,51.48
2023-07-25 10:40:27.7350,-11.76,-29.13,-40.98,51.64
2023-07-25 10:40:27.8340,-11.58,-29.18,-41.02,51.66
2023-07-25 10:40:27.9350,-11.74,-29.01,-41.16,51.7
2023-07-25 10:40:28.0340,-11.82,-28.73,-41.44,51.79
2023-07-25 10:40:28.1340,-11.88,-28.62,-41.15,51.51
2023-07-25 10:40:28.2330,-11.62,-28.62,-41.28,51.56
2023-07-25 10:40:28.3330,-11.7,-28.64,-41.25,51.56
2023-07-25 10:40:28.4320,-11.77,-28.61,-41.58,51.83
2023-07-25 10:40:28.5320,-11.93,-28.47,-41.65,51.84
2023-07-25 10:40:28.6320,-12.78,-27.55,-41.72,51.61
2023-07-25 10:40:28.7310,-14.14,-25.52,-42.84,51.83
2023-07-25 10:40:28.8310,-14.98,-23.79,-43.8,52.05
2023-07-25 10:40:28.9320,-15.86,-24.25,-43.18,52.0
2023-07-25 10:40:29.0310,-16.94,-24.19,-42.79,51.99
2023-07-25 10:40:29.1310,-18.16,-24.52,-41.86,51.8
2023-07-25 10:40:29.2310,-18.18,-25.17,-41.45,51.79
2023-07-25 10:40:29.3310,-18.23,-25.33,-41.4,51.84
2023-07-25 10:40:29.4280,-17.56,-25.23,-41.54,51.68
2023-07-25 10:40:29.5280,-17.1,-25.35,-41.78,51.78
2023-07-25 10:40:29.6280,-16.87,-25.64,-41.74,51.81
2023-07-25 10:40:29.7280,-16.57,-25.54,-41.76,51.68
2023-07-25 10:40:29.8270,-16.28,-25.4,-42.13,51.81
2023-07-25 10:40:29.9280,-16.27,-25.1,-42.5,51.97
2023-07-25 10:40:30.0270,-16.08,-25.04,-42.38,51.78
